订单号,城市,品类,单价,数量,销售额
ORD0080,杭州,,285.44,7.0,1998.08
ORD0081,广州,美妆,469.35,7.0,3285.45
ORD0082,北京,美妆,394.54,4.0,1578.16
ORD0083,杭州,数码,250.1,8.0,2000.8
ORD0084,深圳,食品,200.65,4.0,802.6
ORD0085,深圳,食品,493.58,1.0,493.58
ORD0086,北京,食品,364.52,9.0,3280.68
ORD0087,上海,美妆,476.57,3.0,1429.71
ORD0088,深圳,美妆,76.87,1.0,76.87
ORD0089,杭州,食品,428.26,6.0,2569.56
ORD0090,广州,家居,325.8,3.0,977.4
ORD0091,杭州,食品,78.52,8.0,628.16
ORD0092,杭州,数码,302.36,4.0,1209.44
ORD0093,上海,服饰,349.33,1.0,349.33
ORD0094,杭州,家居,25.91,9.0,233.19
ORD0095,上海,美妆,238.07,5.0,1190.35
ORD0096,上海,食品,416.19,3.0,1248.57
ORD0097,深圳,食品,161.77,7.0,1132.39
ORD0098,深圳,数码,240.1,5.0,1200.5
ORD0099,北京,数码,232.31,1.0,232.31
ORD0100,杭州,美妆,164.93,7.0,1154.51
ORD0101,北京,家居,460.85,4.0,1843.4
ORD0102,杭州,数码,395.02,7.0,2765.14
ORD0103,北京,美妆,73.08,9.0,657.72
ORD0104,深圳,服饰,498.58,6.0,2991.48
ORD0105,深圳,服饰,442.02,7.0,3094.14
ORD0106,深圳,服饰,156.28,3.0,468.84
ORD0107,深圳,食品,421.71,3.0,1265.13
ORD0108,广州,美妆,71.08,4.0,284.32
ORD0109,深圳,食品,499.57,8.0,3996.56
ORD0110,上海,食品,339.53,5.0,1697.65
ORD0111,深圳,数码,332.06,4.0,1328.24
ORD0112,广州,数码,63.41,8.0,507.28
ORD0113,广州,食品,450.58,8.0,3604.64
ORD0114,广州,食品,33.92,9.0,305.28
ORD0115,广州,家居,135.6,3.0,406.8
ORD0116,北京,美妆,88.65,7.0,620.55
ORD0117,北京,食品,392.85,6.0,2357.1
ORD0118,上海,数码,115.14,5.0,575.7
ORD0119,北京,服饰,457.11,4.0,1828.44
ORD0120,广州,美妆,335.01,,670.02
ORD0121,深圳,家居,37.36,3.0,112.08
ORD0122,深圳,家居,22.61,5.0,113.05
ORD0123,广州,服饰,44.8,8.0,358.4
ORD0124,杭州,服饰,310.84,8.0,2486.72
ORD0125,广州,食品,404.71,2.0,809.42
ORD0126,北京,美妆,134.51,7.0,941.57
ORD0127,深圳,美妆,427.72,1.0,427.72
ORD0128,广州,食品,47.47,7.0,332.29
ORD0129,深圳,家居,404.46,4.0,1617.84
ORD0130,广州,食品,465.34,5.0,2326.7
ORD0131,广州,家居,390.61,7.0,2734.27
ORD0132,北京,美妆,355.1,4.0,1420.4
ORD0133,广州,食品,422.23,8.0,3377.84
ORD0134,深圳,服饰,39.27,5.0,196.35
ORD0135,上海,食品,116.86,9.0,1051.74
ORD0136,深圳,服饰,79.96,6.0,479.76
ORD0137,北京,美妆,262.17,3.0,786.51
ORD0138,上海,食品,377.69,7.0,2643.83
ORD0139,广州,数码,322.41,4.0,1289.64
ORD0140,杭州,美妆,428.54,5.0,2142.7
ORD0141,上海,数码,94.5,2.0,189.0
ORD0142,上海,食品,372.62,2.0,745.24
ORD0143,广州,服饰,112.66,6.0,675.96
ORD0144,杭州,服饰,149.96,2.0,299.92
ORD0145,杭州,家居,360.75,9.0,3246.75
ORD0146,北京,数码,490.5,8.0,3924.0
ORD0147,上海,美妆,313.54,7.0,2194.78
ORD0148,杭州,服饰,46.16,7.0,323.12
ORD0149,北京,数码,315.83,6.0,1894.98
ORD0150,杭州,美妆,40.33,1.0,40.33
ORD0151,上海,美妆,444.39,4.0,1777.56
ORD0152,杭州,服饰,360.6,5.0,1803.0
ORD0153,上海,食品,103.1,9.0,927.9
ORD0154,广州,服饰,64.03,2.0,128.06
ORD0155,深圳,服饰,108.1,5.0,540.5
ORD0156,北京,食品,490.41,4.0,1961.64
ORD0157,广州,家居,240.11,2.0,480.22
ORD0158,广州,美妆,396.36,1.0,396.36
ORD0159,深圳,食品,325.48,4.0,1301.92
ORD0160,杭州,家居,294.76,1.0,294.76
ORD0161,深圳,食品,89.66,1.0,89.66
ORD0162,广州,家居,474.09,4.0,1896.36
ORD0163,广州,服饰,164.64,2.0,329.28
ORD0164,广州,食品,297.45,5.0,1487.25
ORD0165,杭州,美妆,355.89,1.0,355.89
ORD0166,上海,食品,331.63,3.0,994.89
ORD0167,北京,服饰,471.49,5.0,2357.45
ORD0168,上海,食品,91.25,9.0,821.25
ORD0169,北京,美妆,264.01,6.0,1584.06
ORD0170,北京,家居,213.94,8.0,1711.52
ORD0171,北京,美妆,247.6,4.0,990.4
ORD0172,深圳,服饰,77.22,5.0,386.1
ORD0173,深圳,服饰,84.37,4.0,337.48
ORD0174,深圳,家居,153.48,8.0,1227.84
ORD0175,广州,家居,166.26,9.0,1496.34
ORD0176,深圳,美妆,225.39,9.0,2028.51
ORD0177,北京,食品,313.27,7.0,2192.89
ORD0178,杭州,家居,324.62,5.0,1623.1
ORD0179,广州,食品,217.67,5.0,1088.35
ORD0180,杭州,数码,216.22,9.0,1945.98
ORD0181,北京,美妆,124.46,3.0,373.38
ORD0182,广州,数码,302.39,4.0,1209.56
ORD0183,深圳,家居,172.18,9.0,1549.62
ORD0184,广州,服饰,37.31,4.0,149.24
ORD0185,广州,数码,220.83,3.0,662.49
ORD0186,北京,数码,247.58,6.0,1485.48
ORD0187,上海,服饰,128.28,3.0,384.84
ORD0188,上海,家居,294.78,9.0,2653.02
ORD0189,上海,家居,291.57,9.0,2624.13
ORD0190,深圳,美妆,356.96,3.0,1070.88
ORD0191,深圳,美妆,331.02,5.0,1655.1
ORD0192,深圳,家居,333.17,9.0,2998.53
ORD0193,上海,家居,171.78,7.0,1202.46
ORD0194,杭州,数码,397.97,2.0,795.94
ORD0195,北京,服饰,283.59,6.0,1701.54
ORD0196,上海,食品,227.08,6.0,1362.48
ORD0197,北京,数码,320.49,6.0,1922.94
ORD0198,上海,美妆,193.12,1.0,193.12
ORD0199,杭州,服饰,266.11,3.0,798.33
ORD0200,上海,食品,373.62,8.0,2988.96
ORD0201,杭州,家居,445.47,3.0,1336.41
ORD0202,广州,美妆,462.11,3.0,1386.33
ORD0203,深圳,美妆,261.74,3.0,785.22
ORD0204,广州,数码,269.73,2.0,539.46
ORD0205,上海,服饰,403.94,2.0,807.88
ORD0206,深圳,服饰,170.94,4.0,683.76
ORD0207,杭州,数码,421.94,8.0,3375.52
ORD0208,上海,数码,257.19,1.0,257.19
ORD0209,深圳,数码,75.61,3.0,226.83
ORD0210,上海,美妆,54.59,1.0,54.59
ORD0211,深圳,家居,424.16,6.0,2544.96
ORD0212,深圳,美妆,46.67,3.0,140.01
ORD0213,广州,美妆,154.69,8.0,1237.52
ORD0214,深圳,美妆,180.38,6.0,1082.28
ORD0215,上海,食品,103.04,8.0,824.32
ORD0216,北京,美妆,170.67,6.0,1024.02
ORD0217,北京,食品,376.49,4.0,1505.96
ORD0218,广州,服饰,27.05,8.0,216.4
ORD0219,杭州,服饰,417.04,5.0,2085.2
ORD0220,北京,数码,431.14,9.0,3880.26
ORD0221,广州,食品,198.69,9.0,1788.21
ORD0222,深圳,食品,93.73,6.0,562.38
ORD0223,上海,美妆,308.4,7.0,2158.8
ORD0224,深圳,数码,77.44,3.0,232.32
ORD0225,上海,数码,195.16,8.0,1561.28
ORD0226,杭州,美妆,480.05,7.0,3360.35
ORD0227,广州,食品,497.82,9.0,4480.38
ORD0228,广州,美妆,390.61,3.0,1171.83
ORD0229,北京,美妆,169.26,8.0,1354.08
ORD0230,广州,服饰,350.08,5.0,1750.4
ORD0231,杭州,食品,358.6,2.0,717.2
ORD0232,北京,食品,206.16,2.0,412.32
ORD0233,深圳,数码,327.63,6.0,1965.78
ORD0234,广州,服饰,25.15,3.0,75.45
ORD0235,深圳,食品,120.35,1.0,120.35
ORD0236,深圳,服饰,272.04,4.0,1088.16
ORD0237,广州,食品,98.6,6.0,591.6
ORD0238,上海,服饰,99.64,3.0,298.92
ORD0239,深圳,食品,421.43,9.0,3792.87
ORD0240,北京,家居,494.78,8.0,3958.24
ORD0241,广州,食品,286.87,5.0,1434.35
ORD0242,北京,食品,422.75,9.0,3804.75
ORD0243,深圳,食品,495.35,4.0,1981.4
ORD0244,深圳,美妆,87.97,2.0,175.94
ORD0245,北京,食品,235.16,1.0,235.16
ORD0246,深圳,服饰,208.43,9.0,1875.87
ORD0247,广州,服饰,58.42,9.0,525.78
ORD0248,深圳,服饰,382.56,7.0,2677.92
ORD0249,北京,家居,228.21,1.0,228.21
ORD0250,北京,美妆,245.28,3.0,735.84
ORD0251,广州,数码,92.32,1.0,92.32
ORD0252,北京,美妆,106.84,1.0,106.84
ORD0253,上海,数码,455.41,3.0,1366.23
ORD0254,深圳,美妆,41.43,6.0,248.58
ORD0255,北京,服饰,131.77,1.0,131.77
ORD0256,深圳,家居,160.19,9.0,1441.71
ORD0257,北京,美妆,255.29,5.0,1276.45
ORD0258,北京,家居,301.49,3.0,904.47
ORD0259,广州,美妆,256.78,5.0,1283.9
ORD0260,深圳,服饰,60.38,8.0,483.04
ORD0261,北京,食品,136.96,3.0,410.88
ORD0262,上海,服饰,424.92,1.0,424.92
ORD0263,杭州,食品,326.04,1.0,326.04
ORD0264,杭州,美妆,331.59,8.0,2652.72
ORD0265,广州,数码,341.7,2.0,683.4
ORD0266,广州,数码,386.19,6.0,2317.14
ORD0267,上海,数码,47.89,4.0,191.56
ORD0268,深圳,家居,195.97,7.0,1371.79
ORD0269,广州,服饰,278.97,1.0,278.97
ORD0270,上海,美妆,182.46,9.0,1642.14
ORD0271,北京,服饰,425.35,7.0,2977.45
ORD0272,北京,数码,251.63,5.0,1258.15
ORD0273,杭州,食品,388.94,2.0,777.88
ORD0274,广州,食品,428.97,9.0,3860.73
ORD0275,广州,数码,262.3,3.0,786.9
ORD0276,广州,美妆,456.59,5.0,2282.95
ORD0277,深圳,服饰,301.82,4.0,1207.28
ORD0278,北京,美妆,428.13,3.0,1284.39
ORD0279,北京,食品,183.48,4.0,733.92
ORD0280,上海,食品,259.43,2.0,518.86
ORD0281,广州,美妆,275.08,1.0,275.08
ORD0282,深圳,食品,70.39,3.0,211.17
ORD0283,广州,食品,211.31,2.0,422.62
ORD0284,广州,服饰,460.32,4.0,1841.28
ORD0285,杭州,美妆,322.8,8.0,2582.4
ORD0286,北京,家居,105.2,2.0,210.4
ORD0287,广州,食品,182.65,1.0,182.65
ORD0288,广州,美妆,111.97,1.0,111.97
ORD0289,广州,美妆,31.92,5.0,159.6
ORD0290,杭州,美妆,465.18,3.0,1395.54
ORD0291,上海,美妆,235.14,5.0,1175.7
ORD0292,杭州,数码,167.62,1.0,167.62
ORD0293,上海,美妆,307.27,3.0,921.81
ORD0294,广州,数码,23.51,4.0,94.04
ORD0295,广州,美妆,153.45,4.0,613.8
ORD0296,杭州,服饰,357.46,5.0,1787.3
ORD0297,广州,家居,324.21,8.0,2593.68
ORD0298,上海,家居,491.27,5.0,2456.35
ORD0299,北京,家居,317.77,8.0,2542.16
ORD0000,北京,数码,393.92,8.0,3151.36
ORD0007,深圳,服饰,326.99,7.0,2288.93
